attackType,fire,water,grass,electric,ice,psychic,normal,fighting,flying,ground,rock,bug,poison,ghost,dragon
fire,0.5,0.5,2,1,2,1,1,1,1,1,0.5,2,1,1,0.5
water,2,0.5,0.5,1,1,1,1,1,1,2,2,1,1,1,0.5
grass,0.5,2,0.5,1,1,1,1,1,0.5,2,2,0.5,0.5,1,0.5
electric,1,2,0.5,0.5,1,1,1,1,2,0,1,1,1,1,0.5
ice,1,0.5,2,1,0.5,1,1,1,2,2,1,1,1,1,2
psychic,1,1,1,1,1,0.5,1,2,1,1,1,1,2,1,1
normal,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0,1
fighting,1,1,1,1,2,0.5,2,1,0.5,1,2,0.5,0.5,0,1
flying,1,1,2,0.5,1,1,1,2,1,1,0.5,2,1,1,1
ground,2,1,0.5,2,1,1,1,1,0,1,2,0.5,2,1,1
rock,2,1,1,1,2,1,1,0.5,2,0.5,1,2,1,1,1
bug,0.5,1,2,1,1,2,1,0.5,0.5,1,1,1,2,1,1
poison,1,1,2,1,1,1,1,1,1,0.5,0.5,2,0.5,0.5,1
ghost,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1
dragon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
